asset_or_tool,source_url,creator,license,commercial_use_ok,attribution_required,modified,project_location,notes
Three.js r160,https://github.com/mrdoob/three.js/tree/r160,three.js authors,MIT,yes,yes,no,prototype/pale-signal.html.html,"Embedded/minified runtime copy includes @license header and SPDX MIT notice; bundled in the shipped browser/Android web assets. Preserve MIT copyright/license notice in substantial copies."
Gradle 8.10.2,https://github.com/gradle/gradle/tree/v8.10.2,Gradle authors,Apache-2.0,yes,yes,no,.github/workflows/build-android.yml,"CI/build-only tool pinned by setup-gradle; not shipped as game content. Apache-2.0 permits commercial use."
Android Gradle Plugin 8.5.2,https://android.googlesource.com/platform/tools/base/+/refs/tags/gradle_8.5.2/,Google/Android Open Source Project,Apache-2.0,yes,yes,no,android-app/build.gradle,"Build-only plugin; not a paid dependency and not shipped as game content."
Android SDK command-line/platform tools,https://developer.android.com/studio/terms,Google,Android SDK License Agreement,yes,no,no,.github/workflows/build-android.yml,"Build-only SDK. setup-android accepts the Android SDK licenses in CI. No SDK binaries are redistributed by Pale Signal; APK output contains only app/runtime assets."
Eclipse Temurin JDK 17,https://adoptium.net/temurin/,Eclipse Adoptium,OpenJDK GPL-2.0 with Classpath Exception,yes,yes,no,.github/workflows/build-android.yml,"CI/build-only Java runtime selected by actions/setup-java; not shipped with Pale Signal."
actions/checkout v4,https://github.com/actions/checkout,GitHub,MIT,yes,yes,no,.github/workflows/build-android.yml + .github/workflows/live-regression.yml,"CI-only GitHub Action; public-repository workflow dependency."
actions/setup-java v4,https://github.com/actions/setup-java,GitHub,MIT,yes,yes,no,.github/workflows/build-android.yml,"CI-only GitHub Action."
actions/setup-node v4,https://github.com/actions/setup-node,GitHub,MIT,yes,yes,no,.github/workflows/live-regression.yml,"CI-only GitHub Action used for Node syntax checks."
android-actions/setup-android v3,https://github.com/android-actions/setup-android,android-actions contributors,MIT,yes,yes,no,.github/workflows/build-android.yml,"CI-only GitHub Action; downloads Android SDK tools governed separately by Android SDK terms."
gradle/actions/setup-gradle v4,https://github.com/gradle/actions/tree/v4,Gradle authors,MIT,yes,yes,no,.github/workflows/build-android.yml,"CI-only action. Current project is pinned to v4; the later v6 enhanced-caching licensing change does not apply to this pin."
actions/upload-artifact v4,https://github.com/actions/upload-artifact,GitHub,MIT,yes,yes,no,.github/workflows/build-android.yml,"CI-only GitHub Action used to publish the debug APK artifact."
GitHub Pages,https://docs.github.com/pages,GitHub,hosted service / GitHub Terms,yes,no,no,repository Pages deployment,"Hosting service for the public PWA; $0 for this public repository under current GitHub Pages availability. No runtime lock-in: build remains static files."
Project-authored procedural geometry/materials/audio synthesis,in-repository,Pale Signal project,project-owned,yes,no,yes,prototype/ and live/,"Current Tethys/Kestra visual, interaction, animation and procedural audio patches use project-authored code/primitives rather than downloaded commercial assets. This row documents provenance; external additions must receive their own verified ledger row before merge."
